wp_id,wp_url,wp_path,wp_section,wp_slug,wp_api_slug,wp_status,wp_http_status,wp_canonical,wp_http_evidence,target_exists,target_status,target_section,target_slug,target_url,target_http_status,target_http_evidence,target_canonical,target_redirect_location,target_redirect_final_status,classification,reasons
595,https://dash.alelm.net/ksa/595/%d8%b5%d8%ae%d8%b1%d8%a9-%d8%aa%d9%8a%d9%85%d8%a7%d8%a1-%d8%a3%d8%b9%d8%ac%d9%88%d8%a8%d8%a9-%d8%b3%d8%b9%d9%88%d8%af%d9%8a%d8%a9-%d8%ad%d9%8a%d9%91%d8%b1%d8%aa-%d8%a7%d9%84%d8%a8%d8%a7%d8%ad%d8%ab/,/ksa/595/صخرة-تيماء-أعجوبة-سعودية-حيّرت-الباحث,ksa,صخرة-تيماء-أعجوبة-سعودية-حيّرت-الباحث,صخرة-تيماء-أعجوبة-سعودية-حيّرت-الباحث,publish,200,https://alelm.net/ksa/595/%D8%B5%D8%AE%D8%B1%D8%A9-%D8%AA%D9%8A%D9%85%D8%A7%D8%A1-%D8%A3%D8%B9%D8%AC%D9%88%D8%A8%D8%A9-%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%AD%D9%8A%D9%91%D8%B1%D8%AA-%D8%A7%D9%84%D8%A8%D8%A7%D8%AD%D8%AB,LIVE,false,,,,,404,LIVE,,,,404,TARGET_404_LIVE
759,https://dash.alelm.net/art/759/%d9%87%d9%84-%d8%aa%d8%b3%d8%a8%d8%a8%d8%aa-%d9%84%d8%b9%d9%86%d8%a9-%d8%a7%d9%84%d9%81%d8%b1%d8%a7%d8%b9%d9%86%d8%a9-%d9%81%d9%8a-%d8%ba%d8%b1%d9%82-%d8%aa%d8%a7%d9%8a%d8%aa%d8%a7%d9%86%d9%8a%d9%83/,/art/759/هل-تسببت-لعنة-الفراعنة-في-غرق-تايتانيك,art,هل-تسببت-لعنة-الفراعنة-في-غرق-تايتانيك,هل-تسببت-لعنة-الفراعنة-في-غرق-تايتانيك,publish,200,https://alelm.net/art/759/%D9%87%D9%84-%D8%AA%D8%B3%D8%A8%D8%A8%D8%AA-%D9%84%D8%B9%D9%86%D8%A9-%D8%A7%D9%84%D9%81%D8%B1%D8%A7%D8%B9%D9%86%D8%A9-%D9%81%D9%8A-%D8%BA%D8%B1%D9%82-%D8%AA%D8%A7%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%83,LIVE,false,,,,,404,LIVE,,,,404,TARGET_404_LIVE
787,https://dash.alelm.net/art/787/%d9%85%d9%88%d9%86%d8%a7%d9%84%d9%8a%d8%b2%d8%a7-%d8%a7%d9%84%d8%b7%d9%88%d8%a7%d8%a8%d8%b9-%d8%a7%d9%84%d8%a3%d8%ba%d9%84%d9%89-%d9%81%d9%8a-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85/,/art/787/موناليزا-الطوابع-الأغلى-في-العالم,art,موناليزا-الطوابع-الأغلى-في-العالم,موناليزا-الطوابع-الأغلى-في-العالم,publish,,,NOT_PROBED,false,,,,,404,INFERRED_FROM_ABSENT_DB_ROW,,,,404,TARGET_ROW_ABSENT_INFERRED_404
797,https://dash.alelm.net/world/797/%d8%ba%d8%b2%d8%a9-%d8%b6%d8%a8%d8%a7%d8%a8%d9%8a%d8%a9-%d9%81%d9%8a-%d8%ae%d8%b1%d8%a7%d8%a6%d8%b7-%d9%82%d9%88%d9%82%d9%84/,/world/797/غزة-ضبابية-في-خرائط-قوقل,world,غزة-ضبابية-في-خرائط-قوقل,غزة-ضبابية-في-خرائط-قوقل,publish,301,,LIVE,false,,,,,404,LIVE,,,,404,TARGET_404_LIVE
815,https://dash.alelm.net/world/815/%d8%a3%d8%ba%d8%b1%d8%a8-%d9%88%d8%ad%d8%af%d8%a7%d8%aa-%d8%a7%d9%84%d9%82%d9%8a%d8%a7%d8%b3/,/world/815/أغرب-وحدات-القياس,world,أغرب-وحدات-القياس,أغرب-وحدات-القياس,publish,,,NOT_PROBED,false,,,,,404,INFERRED_FROM_ABSENT_DB_ROW,,,,404,TARGET_ROW_ABSENT_INFERRED_404
823,https://dash.alelm.net/world/823/%d8%b1%d9%8a%d8%ba%d8%a7%d9%86-%d9%88%d8%ad%d8%b1%d8%a8-%d8%a7%d9%84%d9%86%d8%ac%d9%88%d9%85/,/world/823/ريغان-وحرب-النجوم,world,ريغان-وحرب-النجوم,ريغان-وحرب-النجوم,publish,,,NOT_PROBED,false,,,,,404,INFERRED_FROM_ABSENT_DB_ROW,,,,404,TARGET_ROW_ABSENT_INFERRED_404
824,https://dash.alelm.net/art/824/%d9%85%d9%86-%d9%87%d9%8a-%d8%ba%d8%a7%d9%84%d9%8a%d8%a9-%d8%a7%d9%84%d8%a8%d9%82%d9%85%d9%8a%d8%a9%d8%9f/,/art/824/من-هي-غالية-البقمية؟,art,من-هي-غالية-البقمية؟,من-هي-غالية-البقمية؟,publish,,,NOT_PROBED,false,,,,,404,INFERRED_FROM_ABSENT_DB_ROW,,,,404,TARGET_ROW_ABSENT_INFERRED_404
852,https://dash.alelm.net/uncategorized/852/%d8%ad%d9%82%d8%a7%d8%a6%d9%82-%d9%85%d8%b1%d8%b9%d8%a8%d8%a9-%d8%b9%d9%86-%d9%85%d9%88%d8%b3%d9%88%d9%84%d9%8a%d9%86%d9%8a/,/uncategorized/852/حقائق-مرعبة-عن-موسوليني,uncategorized,حقائق-مرعبة-عن-موسوليني,حقائق-مرعبة-عن-موسوليني,publish,307,,LIVE,false,,,,,404,LIVE,,,,404,TARGET_404_LIVE
856,https://dash.alelm.net/world/856/%d9%84%d9%85%d8%a7%d8%b0%d8%a7-%d9%8a%d8%b1%d9%8a%d8%af-%d8%a7%d9%84%d8%a8%d8%b4%d8%b1-%d8%a7%d9%84%d9%88%d8%b5%d9%88%d9%84-%d9%84%d9%84%d9%85%d8%b1%d9%8a%d8%ae%d8%9f/,/world/856/لماذا-يريد-البشر-الوصول-للمريخ؟,world,لماذا-يريد-البشر-الوصول-للمريخ؟,لماذا-يريد-البشر-الوصول-للمريخ؟,publish,,,NOT_PROBED,false,,,,,404,INFERRED_FROM_ABSENT_DB_ROW,,,,404,TARGET_ROW_ABSENT_INFERRED_404
874,https://dash.alelm.net/world/874/%d8%a3%d8%ba%d9%84%d9%89-5-%d8%b7%d9%84%d8%a7%d9%82%d8%a7%d8%aa/,/world/874/أغلى-5-طلاقات,world,أغلى-5-طلاقات,أغلى-5-طلاقات,publish,,,NOT_PROBED,false,,,,,404,INFERRED_FROM_ABSENT_DB_ROW,,,,404,TARGET_ROW_ABSENT_INFERRED_404
